value_type,row_type,case,run,metric,scope,publisher,n,median,p95,p99,min,max,mean,std,k_runs,median_mean,median_ci95_low,median_ci95_high,p95_mean,p95_ci95_low,p95_ci95_high,p99_mean,p99_ci95_low,p99_ci95_high,mean_mean,mean_ci95_low,mean_ci95_high,std_mean,std_ci95_low,std_ci95_high,min_mean,min_ci95_low,min_ci95_high,max_mean,max_ci95_low,max_ci95_high,n_mean
raw,per_run,baseline,baseline_006,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.61576236382331,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2367.0,50.16064643859863,50.56171417236328,64.25445079803468,50.07576942443848,131.4220428466797,50.63894120358595,3.461291724806735,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2368.0,50.16350746154785,50.50218105316162,64.60649490356445,50.07314682006836,117.3391342163086,50.599793828017006,3.159010449593569,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,SV_interarrival_ms,aggregated,ALL,4735.0,50.16207695007324,50.53372383117676,64.49205875396724,50.07314682006836,131.4220428466797,50.6193633819709,3.3136257366223147,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,118.0,1009.9096298217773,1017.4554109573364,1028.2998371124268,1005.5942535400391,1061.1529350280762,1010.1608785532288,6.064396912680278,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,118.0,1009.9595785140991,1018.2766795158386,1035.9007096290588,1005.7816505432129,1046.3621616363525,1010.7025211140261,5.599753500243926,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,GOOSE_interarrival_ms,aggregated,ALL,236.0,1009.9401473999023,1018.1424617767334,1034.6903681755066,1005.5942535400391,1061.1529350280762,1010.4316998336275,5.842980297324888,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,119.0,0.007152557373046875,0.012445449829101559,0.01684188842773437,0.0054836273193359375,0.023126602172851562,0.007939939739323464,0.0025138069123132696,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_007,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.52032525872051,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2377.0,50.14801025390625,50.34356117248535,57.12933540344235,50.057411193847656,127.2423267364502,50.40141068740607,2.4763971554547672,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2375.0,50.15087127685547,50.34785270690918,55.090055465697944,50.05645751953125,113.42501640319824,50.42388253462942,2.7314311600693952,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,SV_interarrival_ms,aggregated,ALL,4752.0,50.14967918395996,50.34695863723755,56.511752605438154,50.05645751953125,127.2423267364502,50.412641882093666,2.607005231118215,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,117.0,1010.0200176239014,1016.06125831604,1017.7262878417969,1005.8271884918213,1031.0347080230713,1010.4457109402388,3.510371678228204,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,117.0,1010.002613067627,1016.4380550384521,1018.038330078125,1004.9502849578857,1019.9527740478516,1010.1011043939835,3.1941876811309116,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,GOOSE_interarrival_ms,aggregated,ALL,234.0,1010.0198984146118,1016.1736011505127,1018.0267381668091,1004.9502849578857,1031.0347080230713,1010.2734076671111,3.360425649933067,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,118.0,0.007152557373046875,0.01028776168823242,0.021307468414306623,0.003337860107421875,0.030279159545898438,0.007795075238761255,0.0029101882844900975,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_008,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.68142900610806,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2379.0,50.151824951171875,50.33903121948242,54.883956909179574,50.06241798400879,90.55948257446289,50.35031087361448,1.8739390661947495,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2376.0,50.16160011291504,50.348520278930664,55.09525537490845,50.07791519165039,100.27599334716797,50.39146131136602,2.3801356840090104,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,SV_interarrival_ms,aggregated,ALL,4755.0,50.156354904174805,50.345754623413086,55.14377117156983,50.06241798400879,100.27599334716797,50.37087311127961,2.141982909145969,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,118.0,1010.003924369812,1016.8631553649902,1022.2945022583008,1005.8743953704834,1045.090675354004,1010.4061829841743,4.506381756574492,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,118.0,1010.0184679031372,1017.1417832374573,1021.8312478065491,1005.399227142334,1026.0827541351318,1010.542827137446,3.74468725887478,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,GOOSE_interarrival_ms,aggregated,ALL,236.0,1010.0157260894775,1017.0416831970215,1022.6853966712952,1005.399227142334,1045.090675354004,1010.4745050608102,4.143639403657019,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,119.0,0.008106231689453125,0.01649856567382812,0.03098964691162103,0.00476837158203125,0.19860267639160156,0.010708800884855896,0.01767907109068549,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_009,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.713352720632706,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2377.0,50.16183853149414,50.39200782775879,56.431732177734325,50.073862075805664,119.54236030578613,50.401564852048935,2.5186009232498385,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2381.0,50.1704216003418,50.32825469970703,51.8579006195068,50.08530616760254,120.31197547912598,50.32915009615152,2.1370172024515854,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,SV_interarrival_ms,aggregated,ALL,4758.0,50.16613006591797,50.35632848739624,53.410129547119254,50.073862075805664,120.31197547912598,50.36532703494264,2.335735600329755,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,118.0,1010.015606880188,1017.0758485794067,1018.8787317276001,1000.4281997680664,1019.7775363922119,1010.3559999142662,3.2299108868112913,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,118.0,1010.019063949585,1016.987156867981,1019.8599934577942,1004.3540000915527,1020.1053619384766,1010.2965468067234,3.3504610379290476,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,GOOSE_interarrival_ms,aggregated,ALL,236.0,1010.0181102752686,1017.0137286186218,1019.5297002792358,1000.4281997680664,1020.1053619384766,1010.3262733604948,3.290872288574942,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,119.0,0.008821487426757812,0.013232231140136712,0.027399063110351472,0.003814697265625,0.05316734313964844,0.009516707989348084,0.005026888020239775,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_010,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.721712228010226,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2376.0,50.14538764953613,50.30977725982666,57.491958141326904,50.050973892211914,165.58408737182617,50.42636725637648,3.505322197905814,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2376.0,50.13680458068848,50.320565700531006,55.47851324081421,50.05502700805664,147.2156047821045,50.41919804181314,3.3699170861141208,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,SV_interarrival_ms,aggregated,ALL,4752.0,50.1408576965332,50.31538009643555,56.468915939331005,50.050973892211914,165.58408737182617,50.422782649094806,3.4382881334491047,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,117.0,1009.9050998687744,1016.726541519165,1020.3408241271973,1004.9524307250977,1032.503604888916,1009.9935409350273,3.953389511002237,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,117.0,1010.0409984588623,1019.104528427124,1046.4353561401367,1004.9285888671875,1099.9855995178223,1011.8647110767854,9.693306167055901,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,GOOSE_interarrival_ms,aggregated,ALL,234.0,1009.9928379058838,1017.0787811279297,1029.5057320594788,1004.9285888671875,1099.9855995178223,1010.9291260059064,7.461236892221352,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,118.0,0.0030994415283203125,0.0045299530029296875,0.007340908050537104,0.0021457672119140625,0.009298324584960938,0.0032065278392727093,0.0009534709608679783,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_001,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.678482899018306,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2377.0,50.145626068115234,50.39210319519043,55.49635887145974,50.05455017089844,131.072998046875,50.41343302199156,2.7517788432575796,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2379.0,50.14443397521973,50.3209114074707,55.30102729797347,50.04572868347168,123.11959266662598,50.38363776221001,2.7771225574222442,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,SV_interarrival_ms,aggregated,ALL,4756.0,50.14491081237793,50.35072565078735,55.56502342224108,50.04572868347168,131.072998046875,50.39852912732791,2.764525212807884,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,117.0,1009.8996162414551,1017.3789978027344,1023.5944080352783,1005.1090717315674,1036.6568565368652,1010.1381244822445,4.326770340050337,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,117.0,1009.9976062774658,1016.0700798034668,1017.1041870117188,1004.9731731414795,1021.0669040679932,1009.8384527059702,3.011099062622296,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,GOOSE_interarrival_ms,aggregated,ALL,234.0,1009.9636316299438,1016.7728900909424,1021.0940599441528,1004.9731731414795,1036.6568565368652,1009.9882885941073,3.7304531043300813,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,118.0,0.00286102294921875,0.0040531158447265625,0.00888347625732421,0.0019073486328125,0.010251998901367188,0.002978211742336467,0.001068382268550217,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_002,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.695042342329955,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,defense,defense_003,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2381.0,50.13918876647949,50.29416084289551,53.500795364379805,50.05049705505371,163.9571189880371,50.35643805880749,3.054665311076943,,,,,,,,,,,,,,,,,,,,,,,
